Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified,Year,Month,post_oct7
2025-09-11,OPT,PSE,Gaza Strip,31.54977,34.5024697,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118728,2025-10-12,2025-10-13,2025,9,1
2025-09-11,OPT,PSE,Gaza Strip,31.54977,34.5024697,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118729,2025-10-12,2025-10-13,2025,9,1
2025-09-11,OPT,PSE,Gaza Strip,31.4851626,34.4146933,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118811,2025-10-14,2025-10-14,2025,9,1
2025-09-11,OPT,PSE,Gaza Strip,31.4482157917,34.393408289,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118812,2025-10-14,2025-10-14,2025,9,1
2025-09-11,OPT,PSE,Gaza Strip,31.4543663119,34.4114971688,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118896,2025-10-16,2025-10-16,2025,9,1
2025-09-25,OPT,PSE,Gaza Strip,31.504,34.4639,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,Attack On a Market/Restaurant/Supermarket/Bakery,118048,2025-10-05,2025-10-05,2025,9,1
2025-09-10,OPT,PSE,Gaza Strip,31.3443293,34.3095897,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118659,2025-10-11,2025-10-11,2025,9,1
2025-09-10,OPT,PSE,Gaza Strip,31.460003388,34.4181056993,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118875,2025-10-16,2025-10-16,2025,9,1
2025-09-09,OPT,PSE,Gaza Strip,31.2964478969,34.2833491629,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118676,2025-10-11,2025-10-14,2025,9,1
2025-09-09,OPT,PSE,Gaza Strip,31.3443293,34.3095897,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118690,2025-10-12,2025-10-12,2025,9,1
