Date,Country,Country ISO,Admin 1,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Location of Incident,Number of Attacks on Health Facilities Reporting Destruction,Number of Attacks on Health Facilities Reporting Damaged,Forceful Entry into Health Facility,Occupation of Health Facility,Vicinity of Health Facility Affected,Health Transportation Destroyed,Health Transportation Damaged,Health Transportation Stolen/Hijacked,"Affects Access to Medicines, Vaccines And Other Health Products",Health Workers Killed,Health Workers Injured,Health Workers Kidnapped,Health Workers Arrested,Known Kidnapping or Arrest Outcome,Health Workers Threatened,Health Workers Assaulted,Health Workers Sexually Assaulted,Conflict-Related Violence,Political-Related Violence,COVID-19-Related Violence,Ebola-Related Violence,Vaccination-Related Violence,Attacks on Emergency Medical Services,Polio-Related Violence,Children's Health Services Affected,Attacks On Children's Hospitals,Women's Health Services Affected,Hospital Utilities Affected,SiND Event ID,Date Event Entered,Date Event Modified,Access Denied or Obstructed,Looting/Theft/Robbery/Burglary of Health Supplies
2025-12-04,OPT,PSE,West Bank,censored,Civilian,Israeli settlers,Firearms,Checkpoint,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122685,2026-01-11,2026-02-04,,
2025-12-03,OPT,PSE,Gaza Strip,censored,Government: Military,Israeli Defence Forces,Missile,IDP/Refugee Camp,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122649,2026-01-08,2026-01-16,,
2025-12-02,OPT,PSE,Gaza Strip,censored,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122693,2026-01-12,2026-02-06,,
2025-12-02,OPT,PSE,Gaza Strip,censored,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122694,2026-01-12,2026-02-06,,
2025-12-02,OPT,PSE,West Bank,censored,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122695,2026-01-12,2026-02-06,,
2025-12-02,OPT,PSE,West Bank,censored,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122696,2026-01-12,2026-02-06,,
2025-12-01,OPT,PSE,Gaza Strip,censored,Government: Military,Israeli Defence Forces,Aerial Bomb: No Information on Platform Type,No Information,0,0,0,0,0,0,1,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122648,2026-01-08,2026-01-13,,
2025-12-01,OPT,PSE,West Bank,censored,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123837,2026-01-29,2026-02-06,,
2025-11-26,OPT,PSE,West Bank,censored,Civilian,Israeli settlers,No Information on the Weapon Used,Open Space,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122636,2026-01-08,2026-01-29,,
2025-11-26,OPT,PSE,West Bank,censored,Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122682,2026-01-11,2026-02-06,,
2025-11-25,OPT,PSE,West Bank,censored,Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122635,2026-01-08,2026-01-22,,
2025-11-22,OPT,PSE,Gaza Strip,censored,Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,Health Building,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,120573,2025-12-02,2025-12-13,,
2025-11-22,OPT,PSE,Gaza Strip,censored,Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,IDP/Refugee Camp,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122564,2026-01-07,2026-02-01,,
