Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Location of Incident,Number of Attacks on Health Facilities Reporting Destruction,Number of Attacks on Health Facilities Reporting Damaged,Forceful Entry into Health Facility,Occupation of Health Facility,Vicinity of Health Facility Affected,Health Transportation Destroyed,Health Transportation Damaged,Health Transportation Stolen/Hijacked,"Affects Access to Medicines, Vaccines And Other Health Products",Health Workers Killed,Health Workers Injured,Health Workers Kidnapped,Health Workers Arrested,Known Kidnapping or Arrest Outcome,Health Workers Threatened,Health Workers Assaulted,Health Workers Sexually Assaulted,Conflict-Related Violence,Political-Related Violence,COVID-19-Related Violence,Ebola-Related Violence,Vaccination-Related Violence,Attacks on Emergency Medical Services,Polio-Related Violence,Children's Health Services Affected,Attacks On Children's Hospitals,Women's Health Services Affected,Hospital Utilities Affected,SiND Event ID,Date Event Entered,Date Event Modified,Food_Incidents_Count,Food_System_Impacts,Food_Security_Categories,Event_Description_Clean,Event_Description_Words,has_coords,Year,Month,post_oct7
2025-11-25,25 November 2025: PRCS medical teams obstructed by Israeli forces.,OPT,PSE,West Bank,32.2,35.2,"(3) District, Communicipality or Commune ",Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122635,2026-01-08,2026-01-22,,,,PRCS medical teams obstructed by Israeli forces.,7,1,2025,11,1
2025-11-22,"22 November 2025: In a camp, the vicinity of an NGO medical facility was hit by an Israeli forces drone strike.",OPT,PSE,Gaza Strip,31.4,34.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,Health Building,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,120573,2025-12-02,2025-12-13,,,,"In a camp, the vicinity of an NGO medical facility was hit by an Israeli forces drone strike.",18,1,2025,11,1
2025-11-22,"22 November 2025: In a camp a home near an NGO hospital was hit by an Israeli airstrike, killing three people and injuring an unspecified number of others. ",OPT,PSE,Gaza Strip,31.4,34.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,IDP/Refugee Camp,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122564,2026-01-07,2026-02-01,,,,"In a camp a home near an NGO hospital was hit by an Israeli airstrike, killing three people and injuring an unspecified number of others.",25,1,2025,11,1
2025-11-17,"17 November 2025: In a camp, three children were shot by Israeli forces during a raid, one was killed and two injured. All three were initially injured and ambulances were allowed to collect two, but were prevented from collecting the third child, who later died.",OPT,PSE,West Bank,32.2,35.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123117,2026-01-18,2026-02-01,,,,"In a camp, three children were shot by Israeli forces during a raid, one was killed and two injured. All three were initially injured and ambulances were allowed to collect two, but were prevented from collecting the third child, who later died.",42,1,2025,11,1
2025-11-16,"16 November 2025: In a camp, two people were shot and killed by Israeli forces. One of the victims didn't die instantly, but Israeli forces prevented an ambulance reaching him for 30 minutes. When he got to hospital he was pronounced dead.",OPT,PSE,West Bank,32.2,35.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123115,2026-01-18,2026-02-01,,,,"In a camp, two people were shot and killed by Israeli forces. One of the victims didn't die instantly, but Israeli forces prevented an ambulance reaching him for 30 minutes. When he got to hospital he was pronounced dead.",39,1,2025,11,1
2025-11-16,"16 November 2025: Ater wounding a 14-year-old boy in a camp, Israeli soldiers prevented an ambulance from reaching him. ",OPT,PSE,West Bank,31.8,35.1,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Checkpoint,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123836,2026-01-29,2026-02-04,,,,"Ater wounding a 14-year-old boy in a camp, Israeli soldiers prevented an ambulance from reaching him.",16,1,2025,11,1
2025-11-13,"13 November 2025: Two volunteer doctors with an NGO were detained and interrogated by Israeli forces and later denied entry to the West Bank despite having obtained permission. According to Israeli authorities, the doctors came from an organisation whose activities were not approved by the Israeli Ministry of Diaspora Affairs. ",OPT,PSE,West Bank,31.8,35.4,"(3) District, Communicipality or Commune ",Government: Military,Israeli Defence Forces,Firearms,No Information,0,0,0,0,0,0,0,0,False,0,0,0,2,NoInformation,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122610,2026-01-08,2026-01-28,,,,"Two volunteer doctors with an NGO were detained and interrogated by Israeli forces and later denied entry to the West Bank despite having obtained permission. According to Israeli authorities, the doctors came from an organisation whose activities were not approved by the Israeli Ministry of Diaspora Affairs.",47,1,2025,11,1
2025-11-13,"13 November 2025: Two volunteer doctors were denied entry to the West Bank despite having obtained permission. According to Israeli authorities, the doctors came from an organisation whose activities were not approved by the Israeli Ministry of Diaspora Affairs. ",OPT,PSE,West Bank,31.8,35.4,"(3) District, Communicipality or Commune ",Government: Military,Israeli Defence Forces,Firearms,No Information,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122710,2026-01-14,2026-02-04,,,,"Two volunteer doctors were denied entry to the West Bank despite having obtained permission. According to Israeli authorities, the doctors came from an organisation whose activities were not approved by the Israeli Ministry of Diaspora Affairs.",36,1,2025,11,1
2025-11-06,"06 November 2025: Several Israeli soldiers surrounded a 15-year-old boy near a pharmacy and shot him three times, directly in the head. _x000D_
",OPT,PSE,West Bank,32.4,35.2,"(3) District, Communicipality or Commune ",Government: Military,Israeli Defence Forces,Firearms,No Information,0,0,0,0,1,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123838,2026-01-29,2026-02-04,,,,"Several Israeli soldiers surrounded a 15-year-old boy near a pharmacy and shot him three times, directly in the head. _x000D_",20,1,2025,11,1
2025-11-03,03 November 2025: A Red Cross ambulance team was prevented by Israeli forces from reaching a man who had been killed by an Israeli settler.,OPT,PSE,West Bank,31.5,35.0,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,AttacksOnEmergencyMedicalServices,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,120612,2025-12-03,2025-12-14,,,,A Red Cross ambulance team was prevented by Israeli forces from reaching a man who had been killed by an Israeli settler.,22,1,2025,11,1
