Date,Event Description,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Location of Incident,Occupation of Health Facility,Vicinity of Health Facility Affected,"Affects Access to Medicines, Vaccines And Other Health Products",Health Workers Killed,Health Workers Injured,Health Workers Kidnapped,Health Workers Arrested,Known Kidnapping or Arrest Outcome,Health Workers Threatened,Health Workers Assaulted,Health Workers Sexually Assaulted,Attacks on Emergency Medical Services,Children's Health Services Affected,Attacks On Children's Hospitals,Women's Health Services Affected,Hospital Utilities Affected,SiND Event ID,Date Event Entered,Date Event Modified,_source,Looting/Theft/Robbery/Burglary of Health Supplies,Access Denied or Obstructed,Reported Health Worker Profession,description_clean,sgbv_type,severity_score,severity_label,Year,Month,Month_Name,Year_Month,Quarter,Week,Day_of_Week,post_oct7,Period_Binary,Conflict_Phase,Weapon_Category,Perpetrator_Simple,Total_Casualties,Severity_Score,Severity_Label,Has_Casualties,Lethal_Incident,Facility_Destroyed,Facility_Damaged,Forceful_Entry,Transport_Destroyed,Transport_Damaged,Transport_Stolen,Facility_Attack,Transport_Attack,Access_Disruption,Region,Desc_Word_Count,Desc_Char_Count,kw_hospital,kw_ambulance,kw_doctor,kw_nurse,kw_paramedic,kw_red_crescent,kw_un_staff,kw_mass_casualty,Map_Color,Map_Radius,protected_entity,residential_strike,children_affected,mass_casualty,repeat_target_text,days_since_oct7,days_since_last_attack,is_weekend,month_count,month_velocity_pct,targeting_score,targeting_label,targeting_map,casualty_intensity,topic,topic_reduced,theme,mode
2024-01-30,"30 January 2024: A PRCS medical facility and adjacent headquarters was hit with shrapnel, resulting in one fatality and nine injuries among IDPs taking refuge there. _x000D_
",Gaza Strip,31.3,34.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Unspecified Explosive,Health Building,0,1,False,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,43897,2024-01-31,2025-04-11,insec,,,,"A PRCS medical facility and adjacent headquarters was hit with shrapnel, resulting in one fatality and nine injuries among IDPs taking refuge there. _x000D_",none,0,minimal,2024,1,January,2024-01,2024Q1,5,Tuesday,1,Post Oct 7 2023,Jan–Jun 2024,Explosive/IED,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,Gaza Strip,24,156,0,0,0,0,0,0,0,0,#4a90d9,4.0,0,0,0,0,0,115,0.0,0,263,-14.610389610389609,0,,Not flagged,0,10,10,PRCS Facility / Displacement,Direct Violence
2024-01-30,"30 January 2024: In Khan Yunis Camp, Israeli warplanes struck homes in the vicinity of a medical complex. Palestinian casualties were reported. 
",Gaza Strip,31.3,34.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Health Building,0,1,False,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,43966,2024-02-03,2025-04-11,insec,,,,"In Khan Yunis Camp, Israeli warplanes struck homes in the vicinity of a medical complex. Palestinian casualties were reported.",none,0,minimal,2024,1,January,2024-01,2024Q1,5,Tuesday,1,Post Oct 7 2023,Jan–Jun 2024,Airstrike,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,Gaza Strip,19,126,0,0,0,0,0,0,0,0,#4a90d9,4.0,0,0,0,0,0,115,0.0,0,263,-14.610389610389609,0,,Not flagged,0,-1,7,Khan Younis Shootings,Direct Violence
2024-01-30,"30 January 2024: In Jabalia Refugee camp, an NGO medical facility was bombed for the second time by the Israeli military. The fourth floor, which belongs to another NGO, was hit",Gaza Strip,31.5,34.5,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Shelling,Health Building,0,0,False,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,43968,2024-02-03,2025-04-11,insec,,,,"In Jabalia Refugee camp, an NGO medical facility was bombed for the second time by the Israeli military. The fourth floor, which belongs to another NGO, was hit",none,2,low,2024,1,January,2024-01,2024Q1,5,Tuesday,1,Post Oct 7 2023,Jan–Jun 2024,Artillery/Shelling,Israeli Forces,0,0.0,,0,0,0,1,0,0,0,0,1,0,0,Gaza Strip,28,160,0,0,0,0,0,0,0,0,purple,4.0,0,0,0,0,1,115,1.0,0,263,-14.610389610389609,3,Moderate,Targeted,0,0,0,Airstrikes & Killings,Direct Violence
2024-01-29,29 January 2024: Israeli vehicles fired at a PRCS medical point,Gaza Strip,31.3,34.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,False,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,43833,2024-01-30,2025-04-11,insec,,,,Israeli vehicles fired at a PRCS medical point,none,0,minimal,2024,1,January,2024-01,2024Q1,5,Monday,1,Post Oct 7 2023,Jan–Jun 2024,Gunfire/Small Arms,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,Gaza Strip,8,46,0,0,0,0,0,0,0,0,#4a90d9,4.0,0,0,0,0,0,114,0.0,0,263,-14.610389610389609,0,,Not flagged,0,-1,10,PRCS Facility / Displacement,Direct Violence
2024-01-29,"29 January 2024: An NGO medical facility was damaged by Israeli airstrikes, inuring five people. Ambulances were damaged and parts of the hospital were rendered of out service.",Gaza Strip,31.5,34.5,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Health Building,0,0,False,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,43834,2024-01-30,2025-04-11,insec,,,,"An NGO medical facility was damaged by Israeli airstrikes, inuring five people. Ambulances were damaged and parts of the hospital were rendered of out service.",none,0,minimal,2024,1,January,2024-01,2024Q1,5,Monday,1,Post Oct 7 2023,Jan–Jun 2024,Airstrike,Israeli Forces,0,0.0,,0,0,0,0,0,0,1,0,0,1,0,Gaza Strip,25,159,1,0,0,0,0,0,0,0,blue,4.0,0,0,0,0,0,114,0.0,0,263,-14.610389610389609,0,,Not flagged,0,-1,0,Airstrikes & Killings,Direct Violence
2024-01-29,29 January 2024: A volunteer paramedic was beaten and arrested by Israeli forces during an ongoing night raid in the area. ,West Bank,32.4,35.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearm: Blunt Use,Project Site,0,0,False,0,1,0,1,StillInCaptivity,0,1,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,43835,2024-01-30,2025-06-24,insec,,,,A volunteer paramedic was beaten and arrested by Israeli forces during an ongoing night raid in the area.,none,3,low,2024,1,January,2024-01,2024Q1,5,Monday,1,Post Oct 7 2023,Jan–Jun 2024,Gunfire/Small Arms,Israeli Forces,2,4.0,Medium,1,0,0,0,0,0,0,0,0,0,0,West Bank,18,105,0,0,0,0,1,0,0,0,orange,7.2,0,0,0,0,0,114,0.0,0,263,-14.610389610389609,0,,Not flagged,1,3,3,Arrests & Detentions,Detention
2024-01-29,29 January 2024: Ambulances and emergency teams were unable to transfer injured and killed individuals to a medical facility besieged by Israeli forces.,Gaza Strip,31.5,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,True,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,43843,2024-01-30,2025-04-11,insec,,,,Ambulances and emergency teams were unable to transfer injured and killed individuals to a medical facility besieged by Israeli forces.,none,0,minimal,2024,1,January,2024-01,2024Q1,5,Monday,1,Post Oct 7 2023,Jan–Jun 2024,Gunfire/Small Arms,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,1,Gaza Strip,20,135,0,0,0,0,0,0,0,0,#4a90d9,4.0,0,0,0,0,0,114,0.0,0,263,-14.610389610389609,0,,Not flagged,0,2,2,Ambulance Access Denied,Access Denial
2024-01-29,"29 January 2024: Emergency teams couldn‚Äôt reach a female victim who was killed by Israeli forces metres from a medical facility, as well as others injured in the vicinity, due to heavy Israeli fire. ",Gaza Strip,31.3,34.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Road,0,0,True,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,43845,2024-01-30,2024-11-23,insec,,,,"Emergency teams couldn‚Äôt reach a female victim who was killed by Israeli forces metres from a medical facility, as well as others injured in the vicinity, due to heavy Israeli fire.",none,0,minimal,2024,1,January,2024-01,2024Q1,5,Monday,1,Post Oct 7 2023,Jan–Jun 2024,Airstrike,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,1,Gaza Strip,31,183,0,0,0,0,0,0,0,0,#4a90d9,4.0,0,0,0,0,0,114,0.0,0,263,-14.610389610389609,0,,Not flagged,0,2,2,Ambulance Access Denied,Access Denial
2024-01-29,29 January 2024: A medical facility continues to be surrounded by Israeli forces for the eighth consecutive day. ,Gaza Strip,31.3,34.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,1,False,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,43846,2024-01-30,2025-04-11,insec,,,,A medical facility continues to be surrounded by Israeli forces for the eighth consecutive day.,none,0,minimal,2024,1,January,2024-01,2024Q1,5,Monday,1,Post Oct 7 2023,Jan–Jun 2024,Gunfire/Small Arms,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,Gaza Strip,15,95,0,0,0,0,0,0,0,0,#4a90d9,4.0,0,0,0,0,0,114,0.0,0,263,-14.610389610389609,0,,Not flagged,0,0,0,Airstrikes & Killings,Direct Violence
2024-01-29,"29 January 2024: PRCS ambulances were unable to reach a six-year-old girl who was trapped in a car for at least three hours after Israeli shelling hit the vehicle killing her father and four siblings. Soldiers reportedly targeted anyone attempting to move in the area. The body of the girl was found on 10th February, along with the bodies of two PRCS medics who had tried to rescue her. ",Gaza Strip,31.5,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Administration,0,0,True,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,43847,2024-01-30,2025-04-11,insec,,,,"PRCS ambulances were unable to reach a six-year-old girl who was trapped in a car for at least three hours after Israeli shelling hit the vehicle killing her father and four siblings. Soldiers reportedly targeted anyone attempting to move in the area. The body of the girl was found on 10th February, along with the bodies of two PRCS medics who had tried to rescue her.",none,0,minimal,2024,1,January,2024-01,2024Q1,5,Monday,1,Post Oct 7 2023,Jan–Jun 2024,Gunfire/Small Arms,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,1,Gaza Strip,66,370,0,0,0,0,0,0,0,0,#4a90d9,4.0,0,0,0,0,0,114,1.0,0,263,-14.610389610389609,0,,Not flagged,0,2,2,Ambulance Access Denied,Access Denial
2024-01-29,"29 January 2024: Two ambulances were hit by two Israeli missiles, killing and injuring an unspecified number of people.",Gaza Strip,31.5,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Missile,Road,0,0,False,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,43849,2024-01-30,2025-04-11,insec,,,,"Two ambulances were hit by two Israeli missiles, killing and injuring an unspecified number of people.",none,0,minimal,2024,1,January,2024-01,2024Q1,5,Monday,1,Post Oct 7 2023,Jan–Jun 2024,Airstrike,Israeli Forces,0,0.0,,0,0,0,0,0,0,2,0,0,1,0,Gaza Strip,16,102,0,0,0,0,0,0,0,0,blue,4.0,0,0,0,0,0,114,0.0,0,263,-14.610389610389609,0,,Not flagged,0,2,2,Ambulance Access Denied,Access Denial
2024-01-29,29 January 2024: Ambulance crews were prevented from reaching a 16-year-old student who was shot by Israeli soldiers. As a result the boy died from his injuries. ,West Bank,31.6,35.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Project Site,0,0,True,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,43851,2024-01-30,2025-04-11,insec,,,,Ambulance crews were prevented from reaching a 16-year-old student who was shot by Israeli soldiers. As a result the boy died from his injuries.,none,0,minimal,2024,1,January,2024-01,2024Q1,5,Monday,1,Post Oct 7 2023,Jan–Jun 2024,Gunfire/Small Arms,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,1,West Bank,24,144,0,1,0,0,0,0,0,0,#4a90d9,4.0,0,0,0,0,0,114,0.0,0,263,-14.610389610389609,0,,Not flagged,0,2,2,Ambulance Access Denied,Access Denial
2024-01-29,"29 January 2024: The maternity ward of a medical facility was fired at during an ongoing raid on the city and nearby camp. Windows were damaged and glass shattered, causing panic among the patients.",West Bank,32.4,35.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,False,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,WomensHealthEvent,NotApplicable,43853,2024-01-30,2025-04-11,insec,,,,"The maternity ward of a medical facility was fired at during an ongoing raid on the city and nearby camp. Windows were damaged and glass shattered, causing panic among the patients.",none,2,low,2024,1,January,2024-01,2024Q1,5,Monday,1,Post Oct 7 2023,Jan–Jun 2024,Gunfire/Small Arms,Israeli Forces,0,0.0,,0,0,0,1,0,0,0,0,1,0,0,West Bank,31,181,0,0,0,0,0,0,0,0,purple,4.0,0,0,0,0,0,114,0.0,0,263,-14.610389610389609,0,,Not flagged,0,-1,2,Ambulance Access Denied,Access Denial
2024-01-29,"29 January 2024: A PRCS ambulance crew were missing for at least 89 hours after they set out to rescue a trapped child. The bodies of the two paramedics were found with their bombed ambulance on 10 February, a few metres away from the vehicle the child was trapped in.",Gaza Strip,31.5,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Unspecified Explosive,No Information,0,0,False,2,0,0,0,Killed,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,43867,2024-01-30,2025-04-11,insec,,,,"A PRCS ambulance crew were missing for at least 89 hours after they set out to rescue a trapped child. The bodies of the two paramedics were found with their bombed ambulance on 10 February, a few metres away from the vehicle the child was trapped in.",none,12,high,2024,1,January,2024-01,2024Q1,5,Monday,1,Post Oct 7 2023,Jan–Jun 2024,Explosive/IED,Israeli Forces,2,8.0,High,1,1,0,0,0,1,0,0,0,1,0,Gaza Strip,47,251,0,1,0,0,1,0,0,0,red,10.4,0,0,1,0,0,114,0.0,0,263,-14.610389610389609,0,,Not flagged,2,2,2,Ambulance Access Denied,Access Denial
2024-01-29,"29 January 2024: A maternity medical facility was only responding to the most urgent and life-threatening deliveries, as it struggled to cope with three times the number of deliveries it handled before the hostilities. ",Gaza Strip,31.3,34.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Not Applicable: No Direct Violence,Administration,0,0,True,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,WomensHealthEvent,NotApplicable,43900,2024-01-31,2025-04-11,insec,,,,"A maternity medical facility was only responding to the most urgent and life-threatening deliveries, as it struggled to cope with three times the number of deliveries it handled before the hostilities.",none,0,minimal,2024,1,January,2024-01,2024Q1,5,Monday,1,Post Oct 7 2023,Jan–Jun 2024,No Direct Violence,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,1,Gaza Strip,31,201,0,0,0,0,0,0,0,0,#4a90d9,4.0,0,0,0,0,0,114,0.0,0,263,-14.610389610389609,0,,Not flagged,0,0,0,Airstrikes & Killings,Direct Violence
2024-01-29,"29 January 2024: Israeli forces fatally shot a 16-year-old boy on his way to school, and subsequently prevented medical teams from reaching him. ",West Bank,31.7,35.2,"(3) District, Communicipality or Commune ",Government: Military,Israeli Defence Forces,Firearms,Road,0,0,True,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,43956,2024-02-02,2025-04-11,insec,,,,"Israeli forces fatally shot a 16-year-old boy on his way to school, and subsequently prevented medical teams from reaching him.",none,0,minimal,2024,1,January,2024-01,2024Q1,5,Monday,1,Post Oct 7 2023,Jan–Jun 2024,Gunfire/Small Arms,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,1,West Bank,20,127,0,0,0,0,0,0,0,0,#4a90d9,4.0,0,0,0,0,0,114,0.0,0,263,-14.610389610389609,0,,Not flagged,0,2,2,Ambulance Access Denied,Access Denial
